sent.seconds,sent.microseconds,received.seconds,received.microseconds,sample time point.seconds,sample time point.microseconds,data.value
1780000000,1000,1780000000,5000,1780000000,0,0
1780000000,21000,1780000000,25000,1780000000,20000,1
1780000000,41000,1780000000,45000,1780000000,40000,2
1780000000,61000,1780000000,65000,1780000000,60000,3
1780000000,81000,1780000000,85000,1780000000,80000,4
1780000000,101000,1780000000,105000,1780000000,100000,5
1780000000,121000,1780000000,125000,1780000000,120000,6
1780000000,141000,1780000000,145000,1780000000,140000,7
1780000000,161000,1780000000,165000,1780000000,160000,8
1780000000,181000,1780000000,185000,1780000000,180000,9
1780000000,201000,1780000000,205000,1780000000,200000,10
1780000000,221000,1780000000,225000,1780000000,220000,11
1780000000,241000,1780000000,245000,1780000000,240000,12
1780000000,261000,1780000000,265000,1780000000,260000,13
1780000000,281000,1780000000,285000,1780000000,280000,14
1780000000,301000,1780000000,305000,1780000000,300000,15
1780000000,321000,1780000000,325000,1780000000,320000,16
1780000000,341000,1780000000,345000,1780000000,340000,17
1780000000,361000,1780000000,365000,1780000000,360000,18
1780000000,381000,1780000000,385000,1780000000,380000,19
